date,level,longitude,latitude,speed,level_process,level_diff_process,state
2022/9/20 12:34,233,113.14644,23.06171,0,276.1666667,113.1666667,-1
2022/9/20 12:35,382,113.14644,23.06171,0,389.3333333,113.1666667,-1
2022/9/20 12:36,510,113.14644,23.06171,0,502.5,113.1666667,-1
2022/9/20 12:37,619,113.14644,23.06171,0,615.6666667,93,-1
2022/9/20 12:38,718,113.14643,23.06176,0,708.6666667,93,-1
2022/9/20 12:39,796,113.14643,23.06176,0,801.6666667,93,-1
2022/9/20 12:40,878,113.14643,23.06176,0,894.6666667,43.66666667,-1
2022/9/20 12:41,1010,113.14637,23.06248,5.24,938.3333333,43.66666667,-1
2022/9/20 12:42,999,113.14642,23.06469,14.28,982,43.66666667,-1
2022/9/20 12:43,1050,113.14439,23.06532,15.86,1025.666667,-6.166666667,1
2022/9/20 12:44,1011,113.14393,23.06827,23.89,1019.5,-6.166666667,1
2022/9/20 12:45,1006,113.14636,23.06973,19.34,1013.333333,-6.166666667,1
2022/9/20 12:46,1011,113.14297,23.07022,22.21,1007.166667,0.833333333,0
2022/9/20 12:47,988,113.14074,23.07157,21.69,1008,0.833333333,0
2022/9/20 12:48,998,113.13999,23.07336,16.26,1008.833333,0.833333333,0
2022/9/20 12:49,1008,113.13988,23.07316,1.37,1009.666667,3.777777778,0
2022/9/20 12:50,1023,113.13988,23.07316,0,1013.444444,3.777777778,0
2022/9/20 12:51,1021,113.13988,23.07316,0,1017.222222,3.777777778,0
2022/9/20 12:52,1021,113.13988,23.07316,0.12,1021,-23.16666667,2
2022/9/20 12:59,1007,113.1395,23.07279,4.42,997.8333333,-9.166666667,1
2022/9/20 13:00,989,113.13919,23.07288,3.86,988.6666667,-9.166666667,1
2022/9/20 13:01,967,113.14007,23.0734,8.64,979.5,-3.833333333,0
2022/9/20 13:02,970,113.14067,23.07335,3.26,975.6666667,-3.833333333,0
2022/9/20 13:03,981,113.14062,23.07124,13.7,971.8333333,-3.833333333,0
2022/9/20 13:04,955,113.14001,23.07043,9.68,968,-30.11111111,3
2022/9/20 13:05,968,113.13868,23.07036,5.46,937.8888889,-30.11111111,3
2022/9/20 13:06,893,113.13564,23.07046,19.73,907.7777778,-30.11111111,3
2022/9/20 13:07,909,113.13938,23.07001,26.36,877.6666667,-12.88888889,1
2022/9/20 13:08,831,113.1437,23.06981,27.3,864.7777778,-12.88888889,1
2022/9/20 13:09,839,113.1469,23.06967,27.33,851.8888889,-183.1111111,6
2022/9/20 13:12,582,113.16131,23.0693,27.16,668.7777778,-85.11111111,6
2022/9/20 13:13,578,113.1651,23.06945,23.49,583.6666667,-15.05555556,2
2022/9/20 13:14,591,113.16441,23.06992,7.86,568.6111111,-15.05555556,2
2022/9/20 13:15,533,113.16128,23.06979,20.28,553.5555556,-15.05555556,2
2022/9/20 13:16,544,113.1571,23.06967,25.02,538.5,-191,6
2022/9/20 13:19,363,113.14486,23.06994,26.72,347.5,-36.72222222,4
2022/9/20 13:20,241,113.13982,23.07019,27.6,310.7777778,-36.72222222,4
2022/9/20 13:21,242,113.13562,23.07046,27.09,274.0555556,-36.72222222,4
2022/9/20 13:22,237,113.13959,23.06984,27.77,237.3333333,4.222222222,0
2022/9/20 13:23,233,113.14421,23.06961,28.45,241.5555556,4.222222222,0
2022/9/20 13:24,252,113.14774,23.06939,25.11,245.7777778,4.222222222,0
2022/9/20 13:25,255,113.14774,23.06939,0,250,-2.333333333,0
2022/9/20 13:26,243,113.14774,23.06939,0,247.6666667,-2.333333333,0
2022/9/20 13:27,243,113.14774,23.06939,0,245.3333333,-2.333333333,0
2022/9/20 13:28,243,113.14774,23.06939,0,243,9.777777778,0
2022/9/20 13:29,243,113.14774,23.06939,0,252.7777778,9.777777778,0
2022/9/20 13:30,242,113.14783,23.06944,0.59,262.5555556,9.777777778,0
2022/9/20 13:31,253,113.14788,23.06945,0.02,272.3333333,95.55555556,-1
2022/9/20 13:32,322,113.14788,23.06945,0.05,367.8888889,95.55555556,-1
2022/9/20 13:33,454,113.14788,23.06945,0.07,463.4444444,95.55555556,-1
2022/9/20 13:34,560,113.14788,23.06945,0,559,109.3333333,-1
2022/9/20 13:35,663,113.14787,23.0695,0.15,668.3333333,109.3333333,-1
2022/9/20 13:36,769,113.14787,23.0695,0,777.6666667,109.3333333,-1
2022/9/20 13:37,882,113.14786,23.06945,0.18,887,55.22222222,-1
2022/9/20 13:38,1010,113.14786,23.06945,0,942.2222222,55.22222222,-1
2022/9/20 13:39,1060,113.14786,23.06945,0.04,997.4444444,55.22222222,-1
2022/9/20 13:40,1052,113.14786,23.06945,0,1052.666667,-5.333333333,1
2022/9/20 13:41,1046,113.14786,23.06945,0.03,1047.333333,-5.333333333,1
2022/9/20 13:42,1041,113.14786,23.06945,0.06,1042,-5.333333333,1
2022/9/20 13:43,1038,113.14791,23.06946,0,1036.666667,-4.555555556,1
2022/9/20 13:44,1031,113.14811,23.06947,1.72,1032.111111,-4.555555556,1
2022/9/20 13:45,1023,113.14811,23.06947,0,1027.555556,-4.555555556,1
2022/9/20 13:46,1023,113.14814,23.06943,0,1023,0,0
2022/9/20 13:47,1023,113.14814,23.06943,0,1023,0,0
2022/9/20 13:48,1023,113.14814,23.06943,0,1023,0,0
2022/9/20 13:49,1023,113.14814,23.06943,0,1023,0,0
2022/9/20 13:50,1023,113.14814,23.06943,0,1023,0,0
2022/9/20 13:51,1023,113.14814,23.06943,0,1023,0,0
2022/9/20 13:52,1023,113.14814,23.06943,0,1023,-0.111111111,0
2022/9/20 13:53,1023,113.14814,23.06943,0,1022.888889,-0.111111111,0
2022/9/20 13:54,1023,113.14814,23.06943,0,1022.777778,-0.111111111,0
2022/9/20 13:55,1023,113.14814,23.06943,0,1022.666667,-4.777777778,1
2022/9/20 13:56,1022,113.14814,23.06943,0,1017.888889,-4.777777778,1
2022/9/20 13:57,1022,113.14814,23.06943,0,1013.111111,-4.777777778,1
2022/9/20 13:58,1004,113.14878,23.06996,12.74,1008.333333,-4.944444444,1
2022/9/20 13:59,1033,113.14736,23.07006,9.01,1003.388889,-4.944444444,1
2022/9/20 14:00,994,113.14332,23.07026,24.61,998.4444444,-4.944444444,1
2022/9/20 14:01,1021,113.13933,23.07029,25.21,993.5,-25.94444444,3
2022/9/20 14:02,993,113.13628,23.07068,19.4,967.5555556,-25.94444444,3
2022/9/20 14:03,968,113.13845,23.07008,24.67,941.6111111,-25.94444444,3
2022/9/20 14:04,888,113.14259,23.06987,26.59,915.6666667,-89.22222222,6
2022/9/20 14:05,891,113.14705,23.06977,26.31,826.4444444,-186,6
2022/9/20 14:08,648,113.16064,23.06947,27.86,640.4444444,-7.555555556,1
2022/9/20 14:09,629,113.16431,23.06927,24.39,632.8888889,-7.555555556,1
2022/9/20 14:10,635,113.16492,23.06935,3.85,625.3333333,-35.02777778,4
2022/9/20 14:11,612,113.16424,23.06965,5.97,590.3055556,-35.02777778,4
2022/9/20 14:12,570,113.16023,23.06975,24.71,555.2777778,-35.02777778,4
2022/9/20 14:13,599,113.15626,23.07006,26.55,520.25,-166.75,6
